date,indicator,value,unit,series_code
2026-05-07,selic_target,14.5000,pct_per_year,432
2026-05-08,ipca_monthly,0.5800,pct_per_month,433
2026-05-08,selic_target,14.5000,pct_per_year,432
2026-05-11,ipca_monthly,0.5800,pct_per_month,433
2026-05-11,selic_target,14.5000,pct_per_year,432
2026-05-12,ipca_monthly,0.5800,pct_per_month,433
2026-05-12,selic_target,14.5000,pct_per_year,432
2026-05-13,ipca_monthly,0.5800,pct_per_month,433
2026-05-13,selic_target,14.5000,pct_per_year,432
2026-05-14,ipca_monthly,0.5800,pct_per_month,433
2026-05-14,selic_target,14.5000,pct_per_year,432
2026-05-15,ipca_monthly,0.5800,pct_per_month,433
2026-05-15,selic_target,14.5000,pct_per_year,432
2026-05-18,ipca_monthly,0.5800,pct_per_month,433
2026-05-18,selic_target,14.5000,pct_per_year,432
2026-05-19,ipca_monthly,0.5800,pct_per_month,433
2026-05-19,selic_target,14.5000,pct_per_year,432
2026-05-20,ipca_monthly,0.5800,pct_per_month,433
2026-05-20,selic_target,14.5000,pct_per_year,432
2026-05-21,ipca_monthly,0.5800,pct_per_month,433
2026-05-21,selic_target,14.5000,pct_per_year,432
2026-05-22,ipca_monthly,0.5800,pct_per_month,433
2026-05-22,selic_target,14.5000,pct_per_year,432
2026-05-25,ipca_monthly,0.5800,pct_per_month,433
2026-05-25,selic_target,14.5000,pct_per_year,432
2026-05-26,ipca_monthly,0.5800,pct_per_month,433
2026-05-26,selic_target,14.5000,pct_per_year,432
2026-05-27,ipca_monthly,0.5800,pct_per_month,433
2026-05-27,selic_target,14.5000,pct_per_year,432
2026-05-28,ipca_monthly,0.5800,pct_per_month,433
2026-05-28,selic_target,14.5000,pct_per_year,432
2026-05-29,ipca_monthly,0.5800,pct_per_month,433
2026-05-29,selic_target,14.5000,pct_per_year,432
2026-06-01,ipca_monthly,0.1600,pct_per_month,433
2026-06-01,selic_target,14.5000,pct_per_year,432
2026-06-02,ipca_monthly,0.1600,pct_per_month,433
2026-06-02,selic_target,14.5000,pct_per_year,432
2026-06-03,ipca_monthly,0.1600,pct_per_month,433
2026-06-03,selic_target,14.5000,pct_per_year,432
2026-06-04,ipca_monthly,0.1600,pct_per_month,433
2026-06-04,selic_target,14.5000,pct_per_year,432
2026-06-05,ipca_monthly,0.1600,pct_per_month,433
2026-06-05,selic_target,14.5000,pct_per_year,432
